url_length,hyphen_count,dot_count,digit_count,entropy,subdomain_depth,has_https,is_ip_address,has_at_symbol,path_length,query_param_count,special_char_count,brand_impersonation_score,brand_matched_count,brand_keyword_hit_count,brand_typosquat_hit_count,brand_has_action_word,tld_risk_score,tld_known,idn_is_homograph,idn_confusable_count,idn_risk_score,idn_punycode_flag,dns_resolves,dns_a_record_count,dns_has_aaaa,dns_has_mx,whois_domain_age_days,whois_recently_registered,whois_privacy_protected,whois_found,ssl_valid,ssl_self_signed,ssl_days_until_expiry,ssl_expired,visual_similarity_score,dom_credential_form_detected,aggregate_lexical_risk_score,whois_registrar_was_missing,whois_domain_age_days_was_missing,ssl_days_until_expiry_was_missing,ssl_issuer_was_missing,ssl_expired_was_missing,visual_similarity_score_was_missing,dom_credential_form_detected_was_missing,category_was_missing,tld_freq,whois_registrar_freq,category_freq,ssl_issuer_google_trust_services,ssl_issuer_let's_encrypt,ssl_issuer_digicert_inc,ssl_issuer_amazon,ssl_issuer_globalsign_nv_sa,ssl_issuer_sectigo_limited,ssl_issuer_godaddycom_inc,ssl_issuer_godaddycom,ssl_issuer_hellenic_academic_and_research_institutions_ca,ssl_issuer_microsoft_corporation,ssl_issuer_other,ssl_issuer_missing
43,0,2,0,3.5724,1,1,0,0,17,0,0,0.0,0,0,0,0,0.5,0,0,0,0.0,0,0,0,0,0,-1.0,0,0,0,0,0,-1.0,-1,-1.0,-1,0.2214,1,1,1,1,1,1,1,1,0.007426,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
76,0,3,10,2.5654,2,0,1,0,26,1,3,0.0,0,0,0,0,0.5,0,0,0,0.0,0,0,0,0,0,-1.0,0,0,0,0,0,-1.0,-1,0.1875,0,0.2013,1,1,1,1,1,0,0,1,0.005982,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
33,1,3,0,3.7721,2,1,0,0,0,0,0,0.0,0,0,0,0,0.5,0,0,0,0.0,0,0,0,0,0,-1.0,0,0,0,0,0,-1.0,-1,-1.0,-1,0.2254,1,1,1,1,1,1,1,1,0.000206,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
31,0,1,0,3.1699,0,1,0,0,7,1,2,0.0,0,0,0,0,0.5,0,0,0,0.0,0,0,0,0,0,-1.0,0,0,0,0,0,-1.0,-1,-1.0,-1,0.2134,1,1,1,1,1,1,1,1,0.003094,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
51,0,2,0,3.1972,1,0,0,0,26,0,0,0.0,0,0,0,0,0.22,1,0,0,0.0,0,0,0,0,0,-1.0,0,0,0,0,0,-1.0,-1,0.25,0,0.1299,1,1,1,1,1,0,0,1,0.042492,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
33,0,1,0,2.75,0,1,0,0,7,1,2,0.0,0,0,0,0,0.5,0,0,0,0.0,0,0,0,0,0,-1.0,0,0,0,0,0,-1.0,-1,0.3125,0,0.205,1,1,1,1,1,0,0,1,0.003094,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
36,1,2,2,3.7345,1,1,0,0,11,0,1,0.0,0,0,0,0,0.28,1,0,0,0.0,0,0,0,0,0,-1.0,0,0,0,0,0,-1.0,-1,0.25,0,0.1587,1,1,1,1,1,0,0,1,0.045998,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
53,0,2,2,3.9948,1,1,0,0,0,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,0,0,0,0,-1.0,0,0,0,0,0,-1.0,-1,0.0625,0,0.1249,1,1,1,1,1,0,0,1,0.358292,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
28,0,1,0,3.0958,0,1,0,0,9,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,0,0,-1.0,-1,-1.0,-1,0.1069,1,1,1,1,1,1,1,1,0.358292,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
37,0,1,0,3.6144,0,1,0,0,11,0,0,0.0,0,0,0,0,0.55,1,0,0,0.0,0,0,0,0,0,-1.0,0,0,0,0,0,-1.0,-1,-1.0,-1,0.2373,1,1,1,1,1,1,1,1,0.004744,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
